date,hour,prediction,real
42326.000,20.000,32.357,27.150
42326.000,21.000,30.885,27.850
42326.000,22.000,30.176,24.140
42326.000,23.000,29.569,22.010
42327.000,0.000,24.288,21.510
42327.000,1.000,23.801,21.090
42327.000,2.000,24.692,21.020
42327.000,3.000,25.527,21.280
42327.000,4.000,26.695,23.530
42327.000,5.000,28.813,34.500
42327.000,6.000,31.650,40.920
42327.000,7.000,34.691,52.260
42327.000,8.000,35.476,40.950
42327.000,9.000,35.259,28.800
42327.000,10.000,34.969,38.970
42327.000,11.000,34.247,48.070
42327.000,12.000,33.593,38.790
42327.000,13.000,33.483,36.070
42327.000,14.000,33.262,36.090
42327.000,15.000,33.066,52.280
42327.000,16.000,33.682,52.270
42327.000,17.000,34.871,49.920
42327.000,18.000,34.295,50.960
42327.000,19.000,33.212,36.040
42327.000,20.000,31.874,27.880
42327.000,21.000,30.909,27.890
42327.000,22.000,30.361,24.930
42327.000,23.000,30.275,23.100
42328.000,0.000,29.905,23.640
42328.000,1.000,28.981,23.710
42328.000,2.000,28.072,22.890
42328.000,3.000,27.397,23.250
42328.000,4.000,27.475,27.370
42328.000,5.000,29.854,36.100
42328.000,6.000,33.872,42.410
42328.000,7.000,37.366,40.930
42328.000,8.000,39.128,39.990
42328.000,9.000,38.908,34.460
42328.000,10.000,38.497,40.900
42328.000,11.000,37.434,36.080
42328.000,12.000,36.418,36.020
42328.000,13.000,35.331,36.020
42328.000,14.000,34.492,36.070
42328.000,15.000,34.194,52.270
42328.000,16.000,35.401,52.270
42328.000,17.000,36.492,40.950
42328.000,18.000,35.595,40.450
42328.000,19.000,33.146,34.450
42328.000,20.000,31.365,26.400
42328.000,21.000,30.627,25.080
42328.000,22.000,29.817,24.670
42328.000,23.000,28.915,24.140
42329.000,0.000,24.967,24.330
42329.000,1.000,25.453,23.970
42329.000,2.000,25.595,23.040
42329.000,3.000,25.554,22.380
42329.000,4.000,25.442,22.250
42329.000,5.000,25.545,22.610
42329.000,6.000,25.979,23.180
42329.000,7.000,27.124,24.490
42329.000,8.000,29.900,24.970
42329.000,9.000,32.697,25.220
42329.000,10.000,34.157,25.400
42329.000,11.000,34.338,25.400
42329.000,12.000,33.664,25.320
42329.000,13.000,32.973,25.190
42329.000,14.000,32.897,25.250
42329.000,15.000,34.067,32.930
42329.000,16.000,36.389,34.430
42329.000,17.000,38.524,31.840
42329.000,18.000,38.192,29.100
42329.000,19.000,35.920,26.000
42329.000,20.000,33.683,25.470
42329.000,21.000,31.952,25.300
42329.000,22.000,30.166,24.930
42329.000,23.000,28.616,24.350
42330.000,0.000,26.521,24.460
42330.000,1.000,24.954,23.930
42330.000,2.000,23.604,23.870
42330.000,3.000,22.436,22.700
42330.000,4.000,21.508,22.350
42330.000,5.000,21.156,22.590
42330.000,6.000,21.190,22.670
42330.000,7.000,21.713,22.870
42330.000,8.000,23.172,23.150
42330.000,9.000,25.981,24.020
42330.000,10.000,29.131,24.770
42330.000,11.000,30.491,24.890
42330.000,12.000,30.658,24.790
42330.000,13.000,30.508,24.070
42330.000,14.000,30.653,23.870
42330.000,15.000,31.262,28.500
42330.000,16.000,33.168,30.310
42330.000,17.000,34.662,28.270
42330.000,18.000,33.551,26.490
42330.000,19.000,31.902,25.910
42330.000,20.000,30.697,25.390
42330.000,21.000,30.275,25.180
42330.000,22.000,29.473,24.930
42330.000,23.000,28.908,24.570
42331.000,0.000,24.040,24.000
42331.000,1.000,25.095,24.520
42331.000,2.000,26.505,24.730
42331.000,3.000,27.388,25.020
42331.000,4.000,28.227,26.030
42331.000,5.000,30.099,51.540
42331.000,6.000,35.539,51.560
42331.000,7.000,45.100,89.760
42331.000,8.000,48.340,150.030
42331.000,9.000,47.719,69.870
42331.000,10.000,46.737,99.920
42331.000,11.000,45.152,65.070
42331.000,12.000,43.215,56.490
42331.000,13.000,42.674,55.070
42331.000,14.000,42.250,60.040
42331.000,15.000,41.945,99.950
42331.000,16.000,44.043,150.060
42331.000,17.000,45.569,150.050
42331.000,18.000,42.542,77.480
42331.000,19.000,37.246,51.910
42331.000,20.000,33.885,40.130
42331.000,21.000,32.266,27.340
42331.000,22.000,29.987,25.170
42331.000,23.000,28.747,24.350
42332.000,0.000,27.772,23.940
42332.000,1.000,27.083,23.560
42332.000,2.000,26.493,23.240
42332.000,3.000,26.046,23.260
42332.000,4.000,26.012,23.690
42332.000,5.000,27.583,34.480
42332.000,6.000,31.971,41.960
42332.000,7.000,35.601,59.030
42332.000,8.000,36.169,59.010
42332.000,9.000,34.948,34.460
42332.000,10.000,34.152,56.850
42332.000,11.000,32.970,41.930
42332.000,12.000,31.758,38.940
42332.000,13.000,31.632,38.910
42332.000,14.000,31.348,44.360
42332.000,15.000,31.115,58.010
42332.000,16.000,31.829,58.010
42332.000,17.000,32.884,35.970
42332.000,18.000,32.075,35.070
42332.000,19.000,31.104,31.840
42332.000,20.000,30.058,25.270
42332.000,21.000,29.626,24.860
42332.000,22.000,29.175,24.260
42332.000,23.000,28.581,23.660
42333.000,0.000,23.903,23.710
42333.000,1.000,23.553,23.190
42333.000,2.000,24.903,23.120
42333.000,3.000,26.026,23.530
42333.000,4.000,27.348,24.320
42333.000,5.000,30.295,28.170
42333.000,6.000,34.505,32.970
42333.000,7.000,37.480,34.500
42333.000,8.000,38.404,38.010
42333.000,9.000,37.324,34.410
42333.000,10.000,36.877,36.870
42333.000,11.000,36.277,36.900
42333.000,12.000,35.471,36.050
42333.000,13.000,35.396,36.030
42333.000,14.000,34.858,36.090
42333.000,15.000,34.530,38.990
42333.000,16.000,35.692,50.350
42333.000,17.000,36.858,52.490
42333.000,18.000,35.800,44.640
42333.000,19.000,33.991,32.310
