Date,Hour
42197,16
42197,17
42197,18
42197,19
42197,20
42197,21
42197,22
42197,23
42198,0
42198,1
42198,2
42198,3
42198,4
42198,5
42198,6
42198,7
42198,8
42198,9
42198,10
42198,11
42198,12
42198,13
42198,14
42198,15
42198,16
42198,17
42198,18
42198,19
42198,20
42198,21
42198,22
42198,23
42199,0
42199,1
42199,2
42199,3
42199,4
42199,5
42199,6
42199,7
42199,8
42199,9
42199,10
42199,11
42199,12
42199,13
42199,14
42199,15
42199,16
42199,17
42199,18
42199,19
42199,20
42199,21
42199,22
42199,23
42200,0
42200,1
42200,2
42200,3
42200,4
42200,5
42200,6
42200,7
42200,8
42200,9
42200,10
42200,11
42200,12
42200,13
42200,14
42200,15
42200,16
42200,17
42200,18
42200,19
42200,20
42200,21
42200,22
42200,23
42201,0
42201,1
42201,2
42201,3
42201,4
42201,5
42201,6
42201,7
42201,8
42201,9
42201,10
42201,11
42201,12
42201,13
42201,14
42201,15
42201,16
42201,17
42201,18
42201,19
42201,20
42201,21
42201,22
42201,23
42202,0
42202,1
42202,2
42202,3
42202,4
42202,5
42202,6
42202,7
42202,8
42202,9
42202,10
42202,11
42202,12
42202,13
42202,14
42202,15
42202,16
42202,17
42202,18
42202,19
42202,20
42202,21
42202,22
42202,23
42203,0
42203,1
42203,2
42203,3
42203,4
42203,5
42203,6
42203,7
42203,8
42203,9
42203,10
42203,11
42203,12
42203,13
42203,14
42203,15
42203,16
42203,17
42203,18
42203,19
42203,20
42203,21
42203,22
42203,23
42204,0
42204,1
42204,2
42204,3
42204,4
42204,5
42204,6
42204,7
42204,8
42204,9
42204,10
42204,11
42204,12
42204,13
42204,14
42204,15
42204,16
42204,17
42204,18
42204,19
42204,20
42204,21
42204,22
42204,23
42205,0
42205,1
42205,2
42205,3
42205,4
42205,5
42205,6
42205,7
42205,8
42205,9
42205,10
42205,11
42205,12
42205,13
42205,14
42205,15
42205,16
42205,17
42205,18
42205,19
42205,20
42205,21
42205,22
42205,23
42206,0
42206,1
42206,2
42206,3
42206,4
42206,5
42206,6
42206,7
42206,8
42206,9
42206,10
42206,11
42206,12
42206,13
42206,14
42206,15
42206,16
42206,17
42206,18
42206,19
42206,20
42206,21
42206,22
42206,23
42207,0
42207,1
42207,2
42207,3
42207,4
42207,5
42207,6
42207,7
42207,8
42207,9
42207,10
42207,11
42207,12
42207,13
42207,14
42207,15
42207,16
42207,17
42207,18
42207,19
42207,20
42207,21
42207,22
42207,23
42208,0
42208,1
42208,2
42208,3
42208,4
42208,5
42208,6
42208,7
42208,8
42208,9
42208,10
42208,11
42208,12
42208,13
42208,14
42208,15
42208,16
42208,17
42208,18
42208,19
42208,20
42208,21
42208,22
42208,23
42209,0
42209,1
42209,2
42209,3
42209,4
42209,5
42209,6
42209,7
42209,8
42209,9
42209,10
42209,11
42209,12
42209,13
42209,14
42209,15
42209,16
42209,17
42209,18
42209,19
42209,20
42209,21
42209,22
42209,23
42210,0
42210,1
42210,2
42210,3
42210,4
42210,5
42210,6
42210,7
42210,8
42210,9
42210,10
42210,11
42210,12
42210,13
42210,14
42210,15
42210,16
42210,17
42210,18
42210,19
42210,20
42210,21
42210,22
42210,23
42211,0
42211,1
42211,2
42211,3
42211,4
42211,5
42211,6
42211,7
42211,8
42211,9
42211,10
42211,11
42211,12
42211,13
42211,14
42211,15
42211,16
42211,17
42211,18
42211,19
42211,20
42211,21
42211,22
42211,23
42212,0
42212,1
42212,2
42212,3
42212,4
42212,5
42212,6
42212,7
42212,8
42212,9
42212,10
42212,11
42212,12
42212,13
42212,14
42212,15
42212,16
42212,17
42212,18
42212,19
42212,20
42212,21
42212,22
42212,23
42213,0
42213,1
42213,2
42213,3
42213,4
42213,5
42213,6
42213,7
42213,8
42213,9
42213,10
42213,11
42213,12
42213,13
42213,14
42213,15
42213,16
42213,17
42213,18
42213,19
42213,20
42213,21
42213,22
42213,23
42214,0
42214,1
42214,2
42214,3
42214,4
42214,5
42214,6
42214,7
42214,8
42214,9
42214,10
42214,11
42214,12
42214,13
42214,14
42214,15
42214,16
42214,17
42214,18
42214,19
42214,20
42214,21
42214,22
42214,23
42215,0
42215,1
42215,2
42215,3
42215,4
42215,5
42215,6
42215,7
42215,8
42215,9
42215,10
42215,11
42215,12
42215,13
42215,14
42215,15
42215,16
42215,17
42215,18
42215,19
42215,20
42215,21
42215,22
42215,23
42216,0
42216,1
42216,2
42216,3
42216,4
42216,5
42216,6
42216,7
42216,8
42216,9
42216,10
42216,11
42216,12
42216,13
42216,14
42216,15
42216,16
42216,17
42216,18
42216,19
42216,20
42216,21
42216,22
42216,23
42217,0
42217,1
42217,2
42217,3
42217,4
42217,5
42217,6
42217,7
42217,8
42217,9
42217,10
42217,11
42217,12
42217,13
42217,14
42217,15
42217,16
42217,17
42217,18
42217,19
42217,20
42217,21
42217,22
42217,23
42218,0
42218,1
42218,2
42218,3
42218,4
42218,5
42218,6
42218,7
42218,8
42218,9
42218,10
42218,11
42218,12
42218,13
42218,14
42218,15
42218,16
42218,17
42218,18
42218,19
42218,20
42218,21
42218,22
42218,23
42219,0
42219,1
42219,2
42219,3
42219,4
42219,5
42219,6
42219,7
42219,8
42219,9
42219,10
42219,11
42219,12
42219,13
42219,14
42219,15
42219,16
42219,17
42219,18
42219,19
42219,20
42219,21
42219,22
42219,23
42220,0
42220,1
42220,2
42220,3
42220,4
42220,5
42220,6
42220,7
42220,8
42220,9
42220,10
42220,11
42220,12
42220,13
42220,14
42220,15
42220,16
42220,17
42220,18
42220,19
42220,20
42220,21
42220,22
42220,23
42221,0
42221,1
42221,2
42221,3
42221,4
42221,5
42221,6
42221,7
42221,8
42221,9
42221,10
42221,11
42221,12
42221,13
42221,14
42221,15
42221,16
42221,17
42221,18
42221,19
42221,20
42221,21
42221,22
42221,23
42222,0
42222,1
42222,2
42222,3
42222,4
42222,5
42222,6
42222,7
42222,8
42222,9
42222,10
42222,11
42222,12
42222,13
42222,14
42222,15
42222,16
42222,17
42222,18
42222,19
42222,20
42222,21
42222,22
42222,23
42223,0
42223,1
42223,2
42223,3
42223,4
42223,5
42223,6
42223,7
